# v2.3 | 20260227 | BIM Template family_parameter_bindings
ParameterGroup,ParameterName,GUID,DataType,BindingType,Description,RevitCategory,Maps_To_Shared_Param_GUID
COM_DAT,CST_S_CON_MIX_RATIO_TXT,17213af7-f26e-5499-9873-7cd198ebf13d,TEXT,Type,"CONCRETEMIXRATIO(1:2:4,1:1.5:3)",Furniture,17213af7-f26e-5499-9873-7cd198ebf13d
COM_DAT,CST_S_CON_MIX_RATIO_TXT,17213af7-f26e-5499-9873-7cd198ebf13d,TEXT,Type,"CONCRETEMIXRATIO(1:2:4,1:1.5:3)",Generic Models,17213af7-f26e-5499-9873-7cd198ebf13d
COM_DAT,CST_S_CON_MIX_RATIO_TXT,17213af7-f26e-5499-9873-7cd198ebf13d,TEXT,Type,"CONCRETEMIXRATIO(1:2:4,1:1.5:3)",Mechanical Equipment,17213af7-f26e-5499-9873-7cd198ebf13d
COM_DAT,CST_S_CON_MIX_RATIO_TXT,17213af7-f26e-5499-9873-7cd198ebf13d,TEXT,Type,"CONCRETEMIXRATIO(1:2:4,1:1.5:3)",Plumbing Fixtures,17213af7-f26e-5499-9873-7cd198ebf13d
COM_DAT,CST_S_CON_MIX_RATIO_TXT,17213af7-f26e-5499-9873-7cd198ebf13d,TEXT,Type,"CONCRETEMIXRATIO(1:2:4,1:1.5:3)",Specialty Equipment,17213af7-f26e-5499-9873-7cd198ebf13d
COM_DAT,CST_S_CON_POUR_SEQUENCE_TXT,75a697a4-12b1-5b01-8161-fa75b427f9ef,TEXT,Type,CONCRETEPOURINGSEQUENCEIDENTIFIER,Casework,75a697a4-12b1-5b01-8161-fa75b427f9ef
COM_DAT,CST_S_CON_POUR_SEQUENCE_TXT,75a697a4-12b1-5b01-8161-fa75b427f9ef,TEXT,Type,CONCRETEPOURINGSEQUENCEIDENTIFIER,Electrical Equipment,75a697a4-12b1-5b01-8161-fa75b427f9ef
COM_DAT,CST_S_CON_POUR_SEQUENCE_TXT,75a697a4-12b1-5b01-8161-fa75b427f9ef,TEXT,Type,CONCRETEPOURINGSEQUENCEIDENTIFIER,Furniture,75a697a4-12b1-5b01-8161-fa75b427f9ef
COM_DAT,CST_S_CON_POUR_SEQUENCE_TXT,75a697a4-12b1-5b01-8161-fa75b427f9ef,TEXT,Type,CONCRETEPOURINGSEQUENCEIDENTIFIER,Generic Models,75a697a4-12b1-5b01-8161-fa75b427f9ef
COM_DAT,CST_S_CON_POUR_SEQUENCE_TXT,75a697a4-12b1-5b01-8161-fa75b427f9ef,TEXT,Type,CONCRETEPOURINGSEQUENCEIDENTIFIER,Mechanical Equipment,75a697a4-12b1-5b01-8161-fa75b427f9ef
COM_DAT,CST_S_CON_POUR_SEQUENCE_TXT,75a697a4-12b1-5b01-8161-fa75b427f9ef,TEXT,Type,CONCRETEPOURINGSEQUENCEIDENTIFIER,Plumbing Fixtures,75a697a4-12b1-5b01-8161-fa75b427f9ef
COM_DAT,CST_S_CON_POUR_SEQUENCE_TXT,75a697a4-12b1-5b01-8161-fa75b427f9ef,TEXT,Type,CONCRETEPOURINGSEQUENCEIDENTIFIER,Specialty Equipment,75a697a4-12b1-5b01-8161-fa75b427f9ef
COM_DAT,CST_S_CON_SAND_VOLUME_CU_M,36863979-00ed-54f3-af15-db3364b8316d,VOLUME,Type,SANDFORCONCRETEINCUBICMETERS,Casework,36863979-00ed-54f3-af15-db3364b8316d
COM_DAT,CST_S_CON_SAND_VOLUME_CU_M,36863979-00ed-54f3-af15-db3364b8316d,VOLUME,Type,SANDFORCONCRETEINCUBICMETERS,Electrical Equipment,36863979-00ed-54f3-af15-db3364b8316d
COM_DAT,CST_S_CON_SAND_VOLUME_CU_M,36863979-00ed-54f3-af15-db3364b8316d,VOLUME,Type,SANDFORCONCRETEINCUBICMETERS,Furniture,36863979-00ed-54f3-af15-db3364b8316d
COM_DAT,CST_S_CON_SAND_VOLUME_CU_M,36863979-00ed-54f3-af15-db3364b8316d,VOLUME,Type,SANDFORCONCRETEINCUBICMETERS,Generic Models,36863979-00ed-54f3-af15-db3364b8316d
COM_DAT,CST_S_CON_SAND_VOLUME_CU_M,36863979-00ed-54f3-af15-db3364b8316d,VOLUME,Type,SANDFORCONCRETEINCUBICMETERS,Mechanical Equipment,36863979-00ed-54f3-af15-db3364b8316d
COM_DAT,CST_S_CON_SAND_VOLUME_CU_M,36863979-00ed-54f3-af15-db3364b8316d,VOLUME,Type,SANDFORCONCRETEINCUBICMETERS,Plumbing Fixtures,36863979-00ed-54f3-af15-db3364b8316d
COM_DAT,CST_S_CON_SAND_VOLUME_CU_M,36863979-00ed-54f3-af15-db3364b8316d,VOLUME,Type,SANDFORCONCRETEINCUBICMETERS,Specialty Equipment,36863979-00ed-54f3-af15-db3364b8316d
COM_DAT,CST_S_CON_SLUMP_MM,22faa982-971b-59c6-97af-b382d22859ed,LENGTH,Type,CONCRETESLUMPINMILLIMETERS,Casework,22faa982-971b-59c6-97af-b382d22859ed
COM_DAT,CST_S_CON_SLUMP_MM,22faa982-971b-59c6-97af-b382d22859ed,LENGTH,Type,CONCRETESLUMPINMILLIMETERS,Electrical Equipment,22faa982-971b-59c6-97af-b382d22859ed
COM_DAT,CST_S_CON_SLUMP_MM,22faa982-971b-59c6-97af-b382d22859ed,LENGTH,Type,CONCRETESLUMPINMILLIMETERS,Furniture,22faa982-971b-59c6-97af-b382d22859ed
COM_DAT,CST_S_CON_SLUMP_MM,22faa982-971b-59c6-97af-b382d22859ed,LENGTH,Type,CONCRETESLUMPINMILLIMETERS,Generic Models,22faa982-971b-59c6-97af-b382d22859ed
COM_DAT,CST_S_CON_SLUMP_MM,22faa982-971b-59c6-97af-b382d22859ed,LENGTH,Type,CONCRETESLUMPINMILLIMETERS,Mechanical Equipment,22faa982-971b-59c6-97af-b382d22859ed
COM_DAT,CST_S_CON_SLUMP_MM,22faa982-971b-59c6-97af-b382d22859ed,LENGTH,Type,CONCRETESLUMPINMILLIMETERS,Plumbing Fixtures,22faa982-971b-59c6-97af-b382d22859ed
COM_DAT,CST_S_CON_SLUMP_MM,22faa982-971b-59c6-97af-b382d22859ed,LENGTH,Type,CONCRETESLUMPINMILLIMETERS,Specialty Equipment,22faa982-971b-59c6-97af-b382d22859ed
COM_DAT,CST_S_CON_STRENGTH_MPA,2bfee908-4be7-5f2c-9610-a2262821f73a,NUMBER,Type,CONCRETECOMPRESSIVESTRENGTHINMPA,Casework,2bfee908-4be7-5f2c-9610-a2262821f73a
COM_DAT,CST_S_CON_STRENGTH_MPA,2bfee908-4be7-5f2c-9610-a2262821f73a,NUMBER,Type,CONCRETECOMPRESSIVESTRENGTHINMPA,Electrical Equipment,2bfee908-4be7-5f2c-9610-a2262821f73a
COM_DAT,CST_S_CON_STRENGTH_MPA,2bfee908-4be7-5f2c-9610-a2262821f73a,NUMBER,Type,CONCRETECOMPRESSIVESTRENGTHINMPA,Furniture,2bfee908-4be7-5f2c-9610-a2262821f73a
COM_DAT,CST_S_CON_STRENGTH_MPA,2bfee908-4be7-5f2c-9610-a2262821f73a,NUMBER,Type,CONCRETECOMPRESSIVESTRENGTHINMPA,Generic Models,2bfee908-4be7-5f2c-9610-a2262821f73a
COM_DAT,CST_S_CON_STRENGTH_MPA,2bfee908-4be7-5f2c-9610-a2262821f73a,NUMBER,Type,CONCRETECOMPRESSIVESTRENGTHINMPA,Mechanical Equipment,2bfee908-4be7-5f2c-9610-a2262821f73a
COM_DAT,CST_S_CON_STRENGTH_MPA,2bfee908-4be7-5f2c-9610-a2262821f73a,NUMBER,Type,CONCRETECOMPRESSIVESTRENGTHINMPA,Plumbing Fixtures,2bfee908-4be7-5f2c-9610-a2262821f73a
COM_DAT,CST_S_CON_STRENGTH_MPA,2bfee908-4be7-5f2c-9610-a2262821f73a,NUMBER,Type,CONCRETECOMPRESSIVESTRENGTHINMPA,Specialty Equipment,2bfee908-4be7-5f2c-9610-a2262821f73a
COM_DAT,CST_S_CON_TYPE_TXT,e18d22f7-884f-5821-833e-7f89dd5d56e3,TEXT,Type,"TYPEOFCONCRETE(READY-MIX,SITE-MIX)",Casework,e18d22f7-884f-5821-833e-7f89dd5d56e3
COM_DAT,CST_S_CON_TYPE_TXT,e18d22f7-884f-5821-833e-7f89dd5d56e3,TEXT,Type,"TYPEOFCONCRETE(READY-MIX,SITE-MIX)",Electrical Equipment,e18d22f7-884f-5821-833e-7f89dd5d56e3
COM_DAT,CST_S_CON_TYPE_TXT,e18d22f7-884f-5821-833e-7f89dd5d56e3,TEXT,Type,"TYPEOFCONCRETE(READY-MIX,SITE-MIX)",Furniture,e18d22f7-884f-5821-833e-7f89dd5d56e3
COM_DAT,CST_S_CON_TYPE_TXT,e18d22f7-884f-5821-833e-7f89dd5d56e3,TEXT,Type,"TYPEOFCONCRETE(READY-MIX,SITE-MIX)",Generic Models,e18d22f7-884f-5821-833e-7f89dd5d56e3
COM_DAT,CST_S_CON_TYPE_TXT,e18d22f7-884f-5821-833e-7f89dd5d56e3,TEXT,Type,"TYPEOFCONCRETE(READY-MIX,SITE-MIX)",Mechanical Equipment,e18d22f7-884f-5821-833e-7f89dd5d56e3
COM_DAT,CST_S_CON_TYPE_TXT,e18d22f7-884f-5821-833e-7f89dd5d56e3,TEXT,Type,"TYPEOFCONCRETE(READY-MIX,SITE-MIX)",Plumbing Fixtures,e18d22f7-884f-5821-833e-7f89dd5d56e3
