# This is a Revit shared parameter file.
# Do not edit manually.
*META	VERSION	MINVERSION
META	2	1
*GROUP	ID	NAME
GROUP	1	ASS_MNG
GROUP	2	CST_PROC
GROUP	3	COM_DAT
GROUP	4	ELC_PWR
GROUP	5	HVC_SYSTEMS
GROUP	6	PLM_DRN
GROUP	7	LTG_CONTROLS
GROUP	8	FLS_LIFE_SFTY
GROUP	9	PER_SUST
GROUP	10	BLE_ELES
GROUP	11	TPL_TRACKING
GROUP	12	MAT_INFO
GROUP	13	PRJ_INFORMATION
GROUP	14	PROP_PHYSICAL
GROUP	15	RGL_CMPL
GROUP	16	BLE_STRUCTURE
GROUP	17	STINGTags_ISO19650
GROUP	18	WARN_THRESHOLDS
GROUP	19	SLV_SLEEVE_PARAMS
GROUP	20	CLASH_COORDINATION
GROUP	21	ACC_SYNC
GROUP	22	IFC_EXCH
GROUP	23	HEALTH_METRICS
GROUP	24	ASBUILT
GROUP	25	COMMISSIONING
GROUP	26	TBL_TITLEBLOCK
GROUP	27	STING_DRAWING
GROUP	28	CLN_CLINICAL
GROUP	29	MGS_SYSTEMS
GROUP	30	RAD_PROTECTION
GROUP	31	CEQ_CLINICAL
GROUP	32	LIG_BEHAVIOURAL
GROUP	33	Identity
GROUP	34	Routing
*PARAM	GUID	NAME	DATATYPE	DATACATEGORY	GROUP	VISIBLE	DESCRIPTION	USERMODIFIABLE
PARAM	b09617b0-e85e-4079-9c0f-6b490e32daf4	BLE_PARK_EV_CHARGING_BOOL	TEXT		2	1	EV charging point provided [ISO 19650-1:2018]	1
PARAM	6d2b0bdf-0c70-4acc-bc6f-cd0bd8cc7d0e	BLE_PARK_TYPE_TXT	TEXT		2	1	Parking bay type classification [ISO 19650-1:2018]	1
PARAM	e5a30e5b-eefa-402a-9a72-7d441f93a300	BLE_RAILING_BALUSTER_SPACING_MM	TEXT		2	1	Railing baluster spacing in mm [ISO 19650-1:2018]	1
PARAM	59f58f53-84f9-482f-9b1d-59fc2336b2b1	BLE_RAILING_HEIGHT_MM	TEXT		2	1	Railing height in mm [ISO 19650-1:2018]	1
PARAM	a8aab573-957c-4d1c-8633-2e2e0a05e1da	BLE_RAILING_INFILL_TXT	TEXT		2	1	Railing infill type (Glass/Mesh/Baluster) [ISO 19650-1:2018]	1
PARAM	7aa7bc73-19aa-4e6b-8c19-6fb139f7e446	BLE_RAILING_MATERIAL_TXT	TEXT		2	1	Railing primary material [ISO 19650-1:2018]	1
PARAM	dc5ab33b-bd4f-4e9d-84ec-c8d5aaf29613	BLE_RAILING_TYPE_TXT	TEXT		2	1	Railing type classification [ISO 19650-1:2018]	1
PARAM	c26995bf-3cbb-4714-a933-78db5b9342e1	BLE_RAMP_LANDING_TXT	TEXT		2	1	Ramp landing specification [ISO 19650-1:2018]	1
PARAM	9f4db3ce-b9d5-41c1-909c-4dccf65a7b7e	BLE_ROOF_AREA_SQ_M	TEXT		2	1	Roof plan area in sq.m [ISO 19650-1:2018]	1
PARAM	eb06ec26-b6f5-5f3a-ad96-b8b39b7d8659	BLE_ROOF_COVERING_MAT_TXT	TEXT		2	1	Ble Roof Covering Mat Txt [ISO 19650-1:2018]	1
