# v2.3 | 20260227 | BIM Template mr_parameters
Revit_Category,Parameter_Name,Parameter_GUID,Data_Type,Group_Name,Binding_Type,Description,Has_Formula,Formula,Input_Parameters,Discipline,User_Modifiable,Hide_When_No_Value
Plumbing Equipment,PLM_HOTWTR_TEMP_C,7b53b38e-fc83-574e-9197-5bee5a561e34,TEXT,PLM_DRN,Type,Plm Hotwtr Temp C [ISO 19650-1:2018],False,,,PLUMBING,1,0
Pipes,PLM_PPE_FLW_LPS,800e6613-f502-52f0-9c12-14ec3e358056,VOLUME,PLM_DRN,Type,Plm Ppe Flw Lps [ISO 19650-1:2018],True,3.14159 * (PLM_PPE_SZ_MM / 2000) ^ 2 * PLM_VEL_MPS * 1000,"PLM_PPE_SZ_MM, PLM_VEL_MPS",PLUMBING,0,0
Pipes,PLM_PPE_INS_THK_MM,7b7eb223-a119-5a53-a3ba-5c5e5d553e0b,LENGTH,PLM_DRN,Type,Plm Ppe Ins Thk Mm [ISO 19650-1:2018],False,,,PLUMBING,1,0
Pipes,PLM_PPE_INS_TYPE_TXT,3eebb62d-4e9f-507a-8e9a-301a838ab774,TEXT,PLM_DRN,Type,Plm Ppe Ins Type Txt [ISO 19650-1:2018],False,,,PLUMBING,1,0
Pipe Fittings,PLM_PPE_JOINT_TYPE_TXT,463fabb0-eda8-5a62-b621-36fb077c9f97,TEXT,PLM_DRN,Type,Plm Ppe Joint Type Txt [ISO 19650-1:2018],False,,,PLUMBING,1,0
Pipes,PLM_PPE_LENGTH_M,dc5e612c-656a-5930-a87a-4a412e2cd119,LENGTH,PLM_DRN,Type,Plm Ppe Length M [ISO 19650-1:2018],True,Length,Length,PLUMBING,0,0
Pipes,PLM_PPE_MAT_TXT,7b08fe47-9d31-5d9a-8982-0e71f44eb6ae,TEXT,PLM_DRN,Type,Plm Ppe Mat Txt [ISO 19650-1:2018],False,,,PLUMBING,1,0
Pipes,PLM_PPE_PSR_RATING_BAR,d978df87-87d3-5403-9bbf-e11e4fb4b5cc,NUMBER,PLM_DRN,Type,Plm Ppe Psr Rating Bar [ISO 19650-1:2018],False,,,PLUMBING,1,0
Pipes,PLM_PPE_SZ_MM,7280f00f-3961-5c97-bee1-281f3ae98f0e,LENGTH,PLM_DRN,Type,Plm Ppe Sz Mm [ISO 19650-1:2018],False,,,PLUMBING,1,0
Plumbing Equipment,PLM_PSR_KPA,bbf823b4-e2d3-5df8-99a8-4a641f5c8663,NUMBER,PLM_DRN,Type,Plm Psr Kpa [ISO 19650-1:2018],False,,,PLUMBING,1,0
Plumbing Fixtures,PLM_PWR_KW,659b6aaf-5538-56d0-82a2-7ae197499070,ELECTRICAL_POWER,PLM_DRN,Type,Plm Pwr Kw [ISO 19650-1:2018],False,,,PLUMBING,1,0
